age,income,credit_score,num_accounts,account_age_years,savings,loan_amount,label
57,52246.03836297034,697,2,10.582697583968883,11572.523842692293,21370.611110182355,0
32,20000.0,738,6,9.501034995457259,0.0,8438.468241070048,1
38,20000.0,778,4,0.9800628928202938,8637.791419668572,14710.121572906517,1
38,21218.669636129125,516,1,8.664680249278915,2453.727166100637,57493.77943273287,1
18,20000.0,770,2,2.660742875043136,0.0,2022.741905017252,1
39,22711.880318964824,674,5,0.23671658611017615,0.0,33069.168351690925,0
56,29863.63341037355,770,2,4.340417593349506,0.0,4234.254537677009,1
25,70718.79646052174,777,3,4.603669729223581,5180.809739167851,49261.14887120786,1
60,27354.86272648219,850,2,5.099440960615957,6736.1779035649815,0.0,0
52,20000.0,836,1,9.88349081055889,7205.521416311602,14723.063353367575,0
33,90658.55939060969,835,5,2.992054502746046,21357.840780453684,36740.811538433496,0
42,20000.0,845,3,3.0678428654547703,0.0,12614.050886787674,0
69,33923.02443756217,727,3,0.505950972359757,6498.300385280765,12943.731473109905,1
56,51336.636378400726,701,2,9.403946558451187,3887.297511452953,18714.9211343241,0
45,41926.80098570437,787,5,6.795310364885296,5972.38404327672,31311.258685834655,0
41,87310.60647157666,772,2,3.4821808062672854,4673.544930659876,43657.82352555393,0
46,52721.70859883347,666,2,9.893507948784507,1652.7337881038093,43875.85572612955,0
37,20000.0,739,2,6.243489720649578,6895.6084921597685,28468.914299181888,1
18,212441.29761655055,694,0,5.130982712192161,22176.105310577757,61227.943218027416,0
76,41745.77134240084,610,3,5.800059256347565,8980.045923092332,19653.36899350152,1
47,31545.335557478025,829,5,8.19362188228811,967.9868125831676,4358.64447356745,1
51,78465.85546404887,703,2,8.738420307509877,1164.9842029634528,32268.75574955916,0
44,43675.8141384311,850,2,2.7622905511679527,0.0,6686.723470350731,0
33,49383.276733974155,532,4,1.2286698804294038,14377.31161017843,48315.629571677935,1
42,274742.8584025121,641,5,1.3798711773792838,28746.37618947073,111532.98396820266,0
20,28407.271463681114,701,4,8.261681619139306,3648.7176632436535,19841.357596711125,1
79,27431.192763911484,814,2,16.706824614647612,5645.516038270216,3166.8100875221553,1
26,39167.17802812404,738,2,4.266912660616306,0.0,30626.29725723341,1
29,85702.99634639247,729,2,1.5045881637437195,9175.440109891813,33835.831158475914,0
38,20000.0,583,2,11.445780837305735,5242.001941039845,33060.713807968015,1
64,20000.0,579,2,14.472343632276017,4295.912542584417,28966.772824381755,1
45,21994.890999839066,730,3,17.213545274992423,730.3493509587711,21606.216057559574,0
26,20000.0,558,5,7.56148628263807,4008.213611344142,24074.177843471698,1
64,25125.49370274896,643,3,15.96777656358561,2996.1723310384104,34980.36987774412,1
56,53747.35582498171,749,3,0.12583353389840418,2575.5052597285485,25150.41082927619,0
53,20000.0,597,5,0.9188055885302678,8922.501329546029,22797.974451676197,1
55,20000.0,850,4,0.7868788480746935,3857.844983303309,11215.516460763643,0
81,37678.935325807484,822,1,10.099862494012728,0.0,5865.125727889923,0
78,72206.52230133775,537,2,0.5841809003038881,12769.453832963194,44258.95096783164,0
34,20000.0,602,1,5.555808092289164,0.0,17850.97563266927,1
69,69744.27145343364,464,5,5.183989595348632,8288.073431175439,40677.30068671158,0
50,69577.12211657107,618,0,3.013878787254509,9782.590750723326,48363.07628172561,1
52,77835.2571126623,776,5,16.55107333784441,6852.903730543632,41713.5143836059,0
19,96679.2208955028,655,4,1.513498319804056,22730.58402613159,42550.85686791869,0
42,216566.17073397984,745,3,3.520089990953496,22703.343503888238,64949.76989874071,0
32,26582.397301557532,542,3,12.052633281271913,4010.6417564400895,19407.488469117416,1
57,38942.781067070384,779,3,0.25024689140625883,7396.882413279926,0.0,0
61,25299.008512959826,641,1,9.052911850906744,3752.0463444571865,35231.3640350549,1
18,35654.15656375922,699,1,13.729365679488865,4017.5542956886356,5002.825820380629,1
